# frequency_cm^-1 signal
5.885532908079286472e+02 2.096936343148590254e+01
5.900701807326912558e+02 1.563386922795012879e+01
5.915870706574540918e+02 9.071912595671783208e+00
5.931039605822167005e+02 1.778643056765911279e+00
5.946208505069794228e+02 -5.693871201132429505e+00
5.961377404317421451e+02 -1.277897937539681905e+01
5.976546303565048674e+02 -1.893907249656174940e+01
5.991715202812674761e+02 -2.370711393695710711e+01
6.006884102060303121e+02 -2.672284483180094483e+01
6.022053001307929208e+02 -2.776083678356526363e+01
6.037221900555556431e+02 -2.674818933156017309e+01
6.052390799803183654e+02 -2.377046823377236962e+01
6.067559699050810877e+02 -1.906539080800652286e+01
6.082728598298436964e+02 -1.300471571491268818e+01
6.097897497546065324e+02 -6.065712563581245220e+00
6.113066396793691410e+02 1.205600082080903857e+00
6.128235296041318634e+02 8.236614966863475829e+00
6.143404195288945857e+02 1.447243568023025162e+01
6.158573094536573080e+02 1.941888352539052320e+01
6.173741993784200304e+02 2.268087355336890454e+01
6.188910893031827527e+02 2.399317527949076378e+01
6.204079792279453613e+02 2.324116010817576239e+01
6.219248691527080837e+02 2.046991152139049319e+01
6.234417590774708060e+02 1.588097563290089198e+01
6.249586490022335283e+02 9.816988733215508134e+00
6.264755389269962507e+02 2.735360325278553439e+00
6.279924288517589730e+02 -4.826958505954950240e+00
6.295093187765215816e+02 -1.229489714961518843e+01
6.310262087012843040e+02 -1.909967050774595165e+01
6.325430986260470263e+02 -2.472272540203313085e+01
6.340599885508096349e+02 -2.873582004462945605e+01
6.355768784755724710e+02 -3.083412667407899477e+01
6.370937684003350796e+02 -3.085978789492240182e+01
6.386106583250978019e+02 -2.881409778230132446e+01
6.401275482498605243e+02 -2.485736184906872381e+01
6.416444381746232466e+02 -1.929644681221667923e+01
6.431613280993858552e+02 -1.256098724721083393e+01
6.446782180241486913e+02 -5.170097224528952040e+00
6.461951079489112999e+02 2.307827732041995539e+00
6.477119978736740222e+02 9.299096954175377405e+00
6.492288877984367446e+02 1.526908462481495476e+01
6.507457777231994669e+02 1.976352140218768483e+01
6.522626676479620755e+02 2.244351589203505171e+01
6.537795575727249116e+02 2.311159341399757494e+01
6.552964474974875202e+02 2.172673946520600197e+01
6.568133374222502425e+02 1.840729134048040905e+01
6.583302273470129649e+02 1.342146674726464894e+01
6.598471172717756872e+02 7.166279251667885042e+00
6.613640071965382958e+02 1.364921387809672204e-01
6.628808971213011318e+02 -7.113965427018227317e+00
6.643977870460637405e+02 -1.401511323521624419e+01
6.659146769708264628e+02 -2.002521101243278778e+01
6.674315668955891852e+02 -2.467278411032404151e+01
6.689484568203519075e+02 -2.759312380479205018e+01
6.704653467451145161e+02 -2.855643692826488689e+01
6.719822366698773521e+02 -2.748547358773693716e+01
6.734991265946400745e+02 -2.446128366386595943e+01
6.750160165194026831e+02 -1.971667830896704743e+01
6.765329064441654054e+02 -1.361792944825294782e+01
6.780497963689280141e+02 -6.636153700350009288e+00
6.795666862936907364e+02 6.893739561948272199e-01
6.810835762184535724e+02 7.793109095106107276e+00
6.826004661432161811e+02 1.412706403248953713e+01
6.841173560679789034e+02 1.920316361274757355e+01
6.856342459927415121e+02 2.263084629845102569e+01
6.871511359175043481e+02 2.414700518312201183e+01
6.886680258422670704e+02 2.363596779041716545e+01
6.901849157670296790e+02 2.113799538056295546e+01
6.917018056917924014e+02 1.684568046993472734e+01
6.932186956165551237e+02 1.108856497310623013e+01
6.947355855413178460e+02 4.307216994264802423e+00
6.962524754660804547e+02 -2.981179589187874956e+00
6.977693653908431770e+02 -1.022301543716286076e+01
6.992862553156060130e+02 -1.687107893621105248e+01
7.008031452403686217e+02 -2.242667270160111670e+01
7.023200351651313440e+02 -2.647775267148792011e+01
7.038369250898939526e+02 -2.873014305851969397e+01
7.053538150146567887e+02 -2.902943334049271584e+01
7.068707049394195110e+02 -2.737190126227776688e+01
7.083875948641821196e+02 -2.390367008854447306e+01
7.099044847889448420e+02 -1.890823097125037222e+01
7.114213747137075643e+02 -1.278336980664709976e+01
7.129382646384702866e+02 -6.009361229484625255e+00
7.144551545632328953e+02 8.890337737202106405e-01
7.159720444879956176e+02 7.383758014810743120e+00
7.174889344127584536e+02 1.298459321540025613e+01
7.190058243375210623e+02 1.727701849220503405e+01
7.205227142622837846e+02 1.995384457514654741e+01
7.220396041870463932e+02 2.083818028372502695e+01
7.235564941118092293e+02 1.989598165219469550e+01
