z_center_A,OH-_counts_per_frame,OH-_density,H2O_counts_per_frame,H2O_density
23.75,0.006099695015,0.00268693727,0.09559522024,0.04460588284
23.85,0.005799710014,0.002554792814,0.0800959952,0.03737375748
23.95,0.004399780011,0.001938118686,0.08919554022,0.04161971495
24.05,0.00384980751,0.00169585385,0.0784960752,0.03662721551
24.15,0.003599820009,0.001585733471,0.06929653517,0.03233459917
24.25,0.004749762512,0.002092287218,0.06614669267,0.03086484466
24.35,0.003699815009,0.001629781623,0.05234738263,0.02442592015
24.45,0.003499825009,0.001541685319,0.04699765012,0.02192967043
24.55,0.002849857507,0.001255372331,0.03384830758,0.0157940286
24.65,0.006099695015,0.00268693727,0.03604819759,0.01682052381
24.75,0.004699765012,0.002070263142,0.02684865757,0.01252790747
24.85,0.002149892505,0.0009470352671,0.02854857257,0.01332110832
24.95,0.0004999750012,0.0002202407598,0.01959902005,0.009145139159
25.05,0.001099945003,0.0004845296716,0.01589920504,0.007418760849
25.15,0.001299935003,0.0005726259755,0.01144942753,0.005342440988
25.25,0.0008999550022,0.0003964333676,0.01139943003,0.005319111552
25.35,0.0002499875006,0.0001101203799,0.009499525024,0.00443259296
25.45,0.0008999550022,0.0003964333676,0.01259937003,0.005879018031
25.55,0.001599920004,0.0007047704314,0.01109944503,0.005179134932
25.65,0.0002999850007,0.0001321444559,0.01329933503,0.006205630144
25.75,0.0003499825009,0.0001541685319,0.007099645018,0.003312780002
25.85,0.0003499825009,0.0001541685319,0.003749812509,0.001749707747
25.95,0.0002499875006,0.0001101203799,0.005449727514,0.002542908593
26.05,0.000399980001,0.0001761926078,0.005949702515,0.002776202959
26.15,0.0004499775011,0.0001982166838,0.005349732513,0.002496249719
26.25,0.0002999850007,0.0001321444559,0.00409979501,0.001913013804
26.35,0.0005499725014,0.0002422648358,0.006349682516,0.002962838452
26.45,0.0004999750012,0.0002202407598,0.006049697515,0.002822861832
26.55,0.001049947503,0.0004625055956,0.005099745013,0.002379602536
26.65,0.0001499925004,6.607222794e-05,0.003299835008,0.001539742818
26.75,0.0001499925004,6.607222794e-05,0.002349882506,0.001096483522
26.85,0.0006999650017,0.0003083370637,0.001799910004,0.0008398597187
26.95,0.0007499625019,0.0003303611397,0.002049897505,0.0009565069019
27.05,0.0003499825009,0.0001541685319,0.002049897505,0.0009565069019
27.15,0.0009499525024,0.0004184574436,0.002399880006,0.001119812958
27.25,9.999500025e-05,4.404815196e-05,0.002399880006,0.001119812958
27.35,0.0001499925004,6.607222794e-05,0.002349882506,0.001096483522
27.45,0.0001999900005,8.809630392e-05,0.003799810009,0.001773037184
27.55,0.0001999900005,8.809630392e-05,0.00384980751,0.001796366621
27.65,0,0,0.002799860007,0.001306448451
27.75,0,0,0.003299835008,0.001539742818
27.85,0,0,0.003349832508,0.001563072254
27.95,0,0,0.002999850007,0.001399766198
28.05,0.0003499825009,0.0001541685319,0.003399830008,0.001586401691
28.15,0.0002499875006,0.0001101203799,0.002399880006,0.001119812958
28.25,0.0004499775011,0.0001982166838,0.002449877506,0.001143142395
28.35,0.0002999850007,0.0001321444559,0.002899855007,0.001353107325
28.45,0.0006499675016,0.0002863129877,0.003449827509,0.001609731128
28.55,0.000399980001,0.0001761926078,0.001749912504,0.0008165302821
28.65,0.0009999500025,0.0004404815196,0.003099845008,0.001446425071
28.75,0.0009999500025,0.0004404815196,0.003249837508,0.001516413381
28.85,0.000399980001,0.0001761926078,0.002049897505,0.0009565069019
28.95,0.0002999850007,0.0001321444559,0.001799910004,0.0008398597187
29.05,0.0002499875006,0.0001101203799,0.001799910004,0.0008398597187
29.15,0.0002999850007,0.0001321444559,0.002599870006,0.001213130705
29.25,0,0,0.002949852507,0.001376436761
29.35,0,0,0.003599820009,0.001679719437
29.45,4.999750012e-05,2.202407598e-05,0.002599870006,0.001213130705
29.55,0.000399980001,0.0001761926078,0.002199890005,0.001026495212
29.65,0.0002499875006,0.0001101203799,0.001899905005,0.000886518592
29.75,0.0002499875006,0.0001101203799,0.002249887506,0.001049824648
29.85,0.0002499875006,0.0001101203799,0.002899855007,0.001353107325
29.95,0.0004999750012,0.0002202407598,0.002099895005,0.0009798363385
